"","team1","team2","hist_win","hist_lost","hist_rate"
"587","NY","MIL",18,26,0.409090909090909
"588","NY","MIN",14,10,0.583333333333333
"589","NY","NO",12,12,0.5
"591","NY","OKC",8,16,0.333333333333333
"592","NY","ORL",26,18,0.590909090909091
"593","NY","PHI",30,18,0.625
"594","NY","PHO",14,10,0.583333333333333
"595","NY","POR",4,20,0.166666666666667
"596","NY","SA",10,14,0.416666666666667
"597","NY","SAC",10,14,0.416666666666667
"598","NY","TOR",14,34,0.291666666666667
"599","NY","UTA",14,10,0.583333333333333
"600","NY","WAS",10,32,0.238095238095238
"601","OKC","ATL",16,8,0.666666666666667
"602","OKC","BKN",12,12,0.5
"603","OKC","BOS",16,8,0.666666666666667
"604","OKC","CHA",18,6,0.75
"605","OKC","CHI",16,8,0.666666666666667
"606","OKC","CLE",10,14,0.416666666666667
"607","OKC","DAL",28,16,0.636363636363636
"608","OKC","DEN",30,18,0.625
"609","OKC","DET",16,8,0.666666666666667
"610","OKC","GS",16,28,0.363636363636364
"611","OKC","HOU",20,22,0.476190476190476
"612","OKC","IND",14,10,0.583333333333333
"613","OKC","LAC",28,14,0.666666666666667
"614","OKC","LAL",34,10,0.772727272727273
"615","OKC","MEM",28,16,0.636363636363636
"616","OKC","MIA",16,8,0.666666666666667
"617","OKC","MIL",16,8,0.666666666666667
"618","OKC","MIN",32,16,0.666666666666667
"619","OKC","NO",28,14,0.666666666666667
"620","OKC","NY",16,8,0.666666666666667
"622","OKC","ORL",18,6,0.75
"623","OKC","PHI",24,0,1
"624","OKC","PHO",30,12,0.714285714285714
"625","OKC","POR",20,28,0.416666666666667
"626","OKC","SA",24,20,0.545454545454545
"627","OKC","SAC",34,10,0.772727272727273
"628","OKC","TOR",16,8,0.666666666666667
"629","OKC","UTA",36,12,0.75
"630","OKC","WAS",16,8,0.666666666666667
"631","ORL","ATL",18,30,0.375
"632","ORL","BKN",18,26,0.409090909090909
"633","ORL","BOS",12,32,0.272727272727273
"634","ORL","CHA",12,36,0.25
"635","ORL","CHI",12,32,0.272727272727273
"636","ORL","CLE",6,38,0.136363636363636
"637","ORL","DAL",6,18,0.25
"638","ORL","DEN",6,18,0.25
"639","ORL","DET",20,22,0.476190476190476
"640","ORL","GS",4,20,0.166666666666667
"641","ORL","HOU",4,20,0.166666666666667
"642","ORL","IND",6,36,0.142857142857143
"643","ORL","LAC",4,20,0.166666666666667
"644","ORL","LAL",12,12,0.5
"645","ORL","MEM",8,16,0.333333333333333
"646","ORL","MIA",14,34,0.291666666666667
"647","ORL","MIL",18,26,0.409090909090909
"648","ORL","MIN",14,10,0.583333333333333
"649","ORL","NO",14,10,0.583333333333333
"650","ORL","NY",18,26,0.409090909090909
"651","ORL","OKC",6,18,0.25
"653","ORL","PHI",26,16,0.619047619047619
"654","ORL","PHO",12,12,0.5
"655","ORL","POR",10,14,0.416666666666667
"656","ORL","SA",4,20,0.166666666666667
"657","ORL","SAC",8,16,0.333333333333333
"658","ORL","TOR",6,36,0.142857142857143
"659","ORL","UTA",6,18,0.25
"660","ORL","WAS",10,38,0.208333333333333
"661","PHI","ATL",12,30,0.285714285714286
"662","PHI","BKN",22,26,0.458333333333333
"663","PHI","BOS",14,34,0.291666666666667
